DB#,Lesson#,MsgID,GregDate,HijriDate,AudioFilename,Duration
124,124,2389,11.09.2022,1444/02/15,AUD-20220911-WA0011.m4a,37:19
125,125,2400,19.09.2022,1444/02/23,AUD-20220919-WA0004 (1).m4a,20:51
126,126,2410,27.09.2022,1444/02/29,الفقه الميسر.mp3,18:16
127,127,2416,09.10.2022,1444/03/06,الشيخ_حسن_دغريري__٢_درس_الفقه_الميسر_.m4a,24:24
128,128,2426,10.10.2022,1444/03/13,الفقه الميسر  باب الشهادات.m4a,21:03
129,دروس من كتاب الصيام,944,12.05.2020,1441/09/19,(no audio attachment),
130,دروس من كتاب الطهارة,1034,03.07.2020,1441/11/12,(no audio attachment),
131,دروس من كتاب الصلاة,1075,20.07.2020,1441/11/29,(no audio attachment),
132,دروس من كتاب الحج,1101,27.07.2020,1441/12/06,(no audio attachment),
133,دروس من كتاب الجهاد,1136,17.08.2020,1441/12/27,(no audio attachment),
134,دروس من كتاب الصيام,1462,29.03.2021,1442/08/16,(no audio attachment),
